# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0060, 0.0062
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0061, 0.0061
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0059, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0058, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0058, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0058, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0059, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0059, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0059, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0059, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0058, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0059, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0058, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0067, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0058, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0059, 0.0059
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0058, 0.0058
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0057, 0.0057
-1.0000, -1.0000, 0.1992, 1.0000, 0.2291, 0.0000, 0.1631, 1.0000, 0.0062, 0.0097, 0.0292, 0.0507, 0.0057, 0.0057
